Address(String)	Elevator(Numerical)	AddedToSite(Date)	AmenitiesCommunity(Numerical)	Appliances(Numerical)	Beds(Numerical)	BedsOnMain(Numerical)	BedsOnUpper(Numerical)	Baths(Numerical)	Basement(Numerical)	Brokeredby(String)	Builder(String)	StoriesNum(Numerical)	CondoCoop(String)	CondoCoopFee(Numerical)	Garage(Numerical)	ElectCooling(Categorical)	CentralAC(Categorical)	ParkingInPrice(Categorical)	HOAFee(Numerical)	HouseSize(Numerical)	Lastrefreshed(Numerical)	ListingAgent(String)	LotSize(Numerical)	MLSID(Categorical)	PoolSpa(Categorical)	PostalCode(Categorical)	PriceSqFt(Numerical)	PropertyStatus(Categorical)	PropertyType(Categorical)	Status(Categorical)	Style(String)	YearBuilt(Numerical)	Price(Numerical)
"2610 Arcola Ave, Silver Spring, MD 20902"	None	7/16/2014	None	7	3	0	3	None	None	Keller Williams Realty	None	None	None	None	None	1	1	None	None	1782	7	Jennifer Young Homes	7318	8405936	None	20902	163	None	1	3	None	1949	289900
"9909 Dilston Rd, Silver Spring, MD 20903"	None	4/19/2014	None	7	4	2	2	None	None	CENTURY 21 Trademark Realty	None	None	None	None	None	1	1	None	None	1385	3	William Marin	6273	8323927	None	20903	209	None	1	1	None	1950	289900
"12010 Swallow Falls Ct, Silver Spring, MD 20904"	None	7/30/2014	None	8	4	None	None	3.5	None	"Fairfax Realty, Inc."	None	None	None	None	None	1	1	1	98	1200	14	Mesfin Muraga	1612	8418638	None	20904	242	None	2	1	None	1989	289900
"3210 N Leisure World Blvd Apt 420, Silver Spring, MD 20906"	1	9/5/2014	21	10	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Vantage Point West	684	None	1	1	1	None	1490	3	LYNDA K. BLOOM	None	8449348	None	20906	195	None	2	1	None	2001	290000
"14351 Rosetree Ct, Silver Spring, MD 20906"	None	8/7/2014	None	None	3	0	3	3.5	None	U.S. 1 Realty Corp	None	None	None	None	None	1	1	None	95	1584	14	Orli Perez	1307	8426083	None	20906	186	None	2	1	None	1983	294900
"15115 Interlachen Dr # 3-214, Silver Spring, MD 20906"	1	9/5/2014	12	7	3	3	0	None	None	TTR Sotheby&#39;s International Realty	None	None	Greens At Leisur	740	1	1	1	None	None	1610	6	John T. Mahshie	None	8449016	None	20906	183	None	2	None	Contemporary	1984	295000
"13136 Valleywood Dr, Silver Spring, MD 20906"	None	5/5/2014	None	9	3	0	3	1.5	None	Keller Williams Realty	None	None	None	None	None	1	1	1	None	1189	30	Colette Releford	8320	8338845	None	20906	248	None	1	3	None	1956	295000
"14355 Rosetree Ct, Silver Spring, MD 20906"	None	9/19/2014	None	6	3	0	3	3.5	None	Coldwell Banker Residential Brokerage - North Potomac / Rockville (MD)	None	None	None	None	None	1	1	1	95	1584	5	Craig Coleman	1307	8461013	None	20906	187	None	2	1	None	1983	295900
"9820 Hollow Glen Pl # 2554, Silver Spring, MD 20910"	None	9/19/2014	4	5	3	0	3	1.5	None	LONG AND FOSTER - Bethesda Gateway	None	None	Glen Briar Condominium	279	None	1	1	1	None	1020	5	The Ditto Group	None	8460899	None	20910	292	None	2	3	None	1953	297500
"3026 Aquarius Ave, Silver Spring, MD 20906"	None	3/14/2014	1	7	4	4	0	None	None	"Global Realty Enterprises, Corp"	None	None	None	None	None	1	1	1	20	1407	120	Carlos Caraballo	6621	8292784	None	20906	212	None	1	1	None	1972	298000
"1013 W Nolcrest Dr, Silver Spring, MD 20903"	None	9/15/2014	None	8	3	3	0	1.5	None	"RE/MAX Realty Centre, Inc."	None	None	None	None	None	1	1	1	None	1157	14	Susan Ellis	9453	8457297	None	20903	258	None	1	1	None	1956	299000
"13016 Estelle Rd, Silver Spring, MD 20906"	None	9/16/2014	None	None	4	None	None	None	None	Lion Realty	None	None	None	None	None	1	1	None	None	1130	7	Sandy &amp; Jay	7013	8457915	None	20906	265	None	1	1	None	1957	299000
"11408 Wheaton Hill Dr, Silver Spring, MD 20902"	None	7/24/2014	None	None	3	2	1	None	None	Taylor Properties	None	None	None	None	None	1	1	None	None	1338	1	HAROLD HANNETT	9017	8414051	None	20902	223	None	1	1	None	1949	299000
"930 Wayne Ave Apt 903, Silver Spring, MD 20910"	None	8/8/2014	None	None	2	2	0	None	None	Reo Real Estate	None	None	Crescent Condominium	352	None	1	1	None	None	942	21	Phillip Chernitzer	None	8427346	None	20910	317	None	2	3	None	2006	299000
"2906 Ivydale St, Silver Spring, MD 20902"	None	6/11/2014	None	None	4	2	2	None	None	Realty 1 Maryland Llc	None	None	None	None	None	1	1	None	None	1365	90	Reginald Duckett	8320	8374802	None	20902	219	None	1	1	None	1949	299000
"12515 Barbara Rd, Silver Spring, MD 20906"	None	9/29/2014	None	6	3	0	3	None	None	Beasley Real Estate Llc	None	None	None	None	None	1	1	None	None	1070	2	Kira Epstein	6403	8468453	None	20906	280	None	1	1	None	1960	299500
"12513 Atherton Dr, Silver Spring, MD 20906"	None	9/18/2014	None	None	3	2	1	None	None	"Independent Realty, Inc"	None	None	None	None	None	1	1	None	None	1052	14	MADLIN MAHDAWI	6011	8459601	None	20906	285	None	1	1	None	1953	299600
"12234 Veirs Mill Rd, Silver Spring, MD 20906"	None	9/15/2014	None	11	2	2	0	None	None	"RE/MAX Realty Centre, Inc."	None	None	None	None	None	1	1	None	None	1133	7	Pam Ringler	6360	8457423	None	20906	265	None	1	3	None	1946	299900
"11322 King George Dr # 5, Silver Spring, MD 20902"	None	8/21/2014	2	6	2	1	1	None	None	"City Properties 2, Llc"	None	None	Hearthstone Vill	230	1	1	1	1	None	1120	1	CHRIS DYER	None	8437001	None	20902	268	None	2	None	Colonial	2001	299900
"12610 Denley Rd, Silver Spring, MD 20906"	None	9/19/2014	None	9	3	3	0	None	None	Deausen Realty	None	None	None	None	None	1	1	None	None	1126	14	John Mcelwee	6752	8461261	None	20906	266	None	1	1	None	1949	299990
"8045 Newell St Apt 203, Silver Spring, MD 20910"	None	8/9/2014	4	11	2	2	0	None	None	LONG &amp; FOSTER - Silver Spring/Colesville	None	None	8045 Newell At The Metro	339	1	1	1	1	None	883	0.916666667	RICHARD DOMPKA	None	8427882	1	20910	340	None	2	1	Contemporary	2005	299990
"2904 N Leisure World Blvd Apt 512, Silver Spring, MD 20906"	1	6/7/2014	13	11	2	2	0	None	None	"City Properties 2, Llc"	None	None	Turnberry Courts	656	None	1	1	None	None	1480	5	The Lise Howe Group	None	8371134	None	20906	203	None	2	1	None	1997	299999
"2610 Tabiona Cir, Silver Spring, MD 20906"	None	9/10/2014	7	8	3	0	3	2.5	None	Re/Max Town Center	None	None	None	None	None	1	1	None	None	1848	7	Jonathan Lahey	2047	8453374	None	20906	162	None	2	3	None	1984	299999
"14450 Bakersfield Ct, Silver Spring, MD 20906"	None	9/9/2014	None	8	3	2	1	3.5	None	Keller Williams Realty Falls Church	None	None	None	None	None	1	1	1	None	1122	14	Leonardo Pareja	1917	8451864	None	20906	267	None	2	1	None	1987	299999
"3100 N Leisure World Blvd Apt 727, Silver Spring, MD 20906"	1	7/26/2014	17	None	2	2	0	None	None	Long and Foster - North Bethesda/Rockville	None	None	Overlook At Leis	531	1	1	1	1	None	1325	14	Nahil Davis	None	8415716	None	20906	226	None	2	3	Traditional	2004	299999
"13620 Cedar Creek Ln, Silver Spring, MD 20904"	None	6/30/2014	None	3	3	0	3	3	None	Keller Williams Select Realtors	None	None	None	None	None	1	1	None	70	1552	1	Robert Lucido	3485	8392122	None	20904	193	None	2	1	None	1988	300000
"2721 Arvin St, Silver Spring, MD 20902"	None	9/7/2014	None	None	3	0	3	1.5	None	"Spring Hill Real Estate, Llc."	None	None	None	None	None	1	1	1	None	1340	21	Kassandra Cardozo	8276	8450767	None	20902	224	None	1	3	None	1949	300000
"2917 Schubert Dr, Silver Spring, MD 20904"	None	9/18/2014	None	None	4	0	4	2.5	None	RE/MAX Realty Group	None	None	None	None	None	1	1	None	33	1872	14	Clairette Mafouomene	8625	8460391	None	20904	160	None	1	3	None	1986	300000
"100 Ritchie Ave, Silver Spring, MD 20910"	None	8/7/2014	None	4	3	3	0	None	None	LONG &amp; FOSTER - Bethesda Avenue	None	None	None	None	None	1	1	None	None	850	7	MEG FINN	5924	8425839	None	20910	353	None	1	3	None	1942	300000
"2423 Briggs Chaney Rd, Silver Spring, MD 20905"	None	4/30/2013	None	None	None	None	None	None	None	LONG &amp; FOSTER - Silver Spring/Burtonsville	None	None	None	None	None	None	None	None	None	None	90	Suu O&#39;Keefe	161607.6	8068378	None	20905	None	None	3	1	None	None	300000
"10419 Grandin Rd, Silver Spring, MD 20902"	None	9/4/2014	None	7	3	2	1	None	None	Re/Max All Pro	None	None	None	None	None	1	1	None	None	1282	6	Svrcek Properties	5140	8448025	None	20902	238	None	1	1	None	1949	305000
"2340 Ladymeade Dr, Silver Spring, MD 20906"	None	9/16/2013	None	None	3	0	3	3	None	Realty Direct LLC	None	None	None	None	1	1	1	None	60	1580	60	Anup Vij	3746	8183637	None	20906	193	None	1	4	Colonial	1986	305000
"35 London Bridge Ct, Silver Spring, MD 20906"	None	7/31/2014	5	5	3	0	3	3	None	LONG &amp; FOSTER - McLean	None	None	None	None	None	1	1	1	59.75	1800	7	Karen Burnett	2004	8419277	None	20906	169	None	2	1	None	1987	305000
"8045 Newell St Apt 403, Silver Spring, MD 20910"	1	9/1/2014	5	9	1	1	0	None	None	Coldwell Banker Residential Brokerage - Dupont	None	None	8045 Newell At Silver Spring M	339	1	1	1	1	None	935	5	Susan McNeill	None	8445055	None	20910	328	None	2	1	Contemporary	2005	307000
"Barton Plan, New Home Plan by Beazer Homes"	None	9/23/2013	None	None	3	None	None	None	None	None	Beazer Homes	None	None	None	2	None	None	None	None	1850	7	None	None	0	None	20904	166	1	None	2	None	None	307490
"7923 Eastern Ave Apt 801, Silver Spring, MD 20910"	1	4/11/2014	3	9	2	2	0	None	None	Weichert Realtors - Bethesda/Chevy Chase	None	None	Aurora Codm	100.13	None	1	1	None	274.84	966	3	Carmen Fontecilla	None	8316671	None	20910	320	None	2	3	None	2006	309000
"8601 11th Ave, Silver Spring, MD 20903"	None	10/3/2014	None	3	3	3	0	1.5	None	Taylor Properties	None	None	None	None	None	1	1	1	None	1095	1	Veronica Strong-Davis	7884	8472335	None	20903	282	None	1	1	None	1952	309000
"11514 Regnid Dr, Silver Spring, MD 20902"	None	1/14/2014	None	11	3	3	0	None	None	LONG &amp; FOSTER - White Oak/Silver Spring	None	None	None	None	None	1	1	1	None	2050	30	LISA BEN-SHLAUSH	7797	8252965	None	20902	151	None	1	3	None	1950	309900
"2111 Walsh View Ter # 11-101, Silver Spring, MD 20902"	None	9/15/2014	3	4	3	3	0	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	Americana Finnmark	634	None	1	1	None	None	1200	14	RHONDA MORTENSEN	None	8457335	1	20902	258	None	2	1	None	1974	310000
"329 University Blvd E, Silver Spring, MD 20901"	None	3/12/2013	None	2	4	2	2	None	None	Re/Max All Pro	None	None	None	None	1	1	1	1	None	1494	7	John Williams	6621	8028207	None	20901	207	None	1	3	Cape Cod	1948	310000
"13519 Westwind Dr, Silver Spring, MD 20904"	None	4/4/2014	None	3	3	2	1	None	None	Re/Max Allegiance	None	None	None	None	None	1	1	1	None	1688	21	FRANK PRINDLE	30927.6	8310263	None	20904	185	None	1	3	None	1951	312500
"7923 Eastern Ave Apt 205, Silver Spring, MD 20910"	1	9/4/2014	4	8	2	2	0	None	None	Keller Williams Capital Properties	None	None	Aurora Codm	100	None	1	1	None	270	1082	2	Mynor Herrera	None	8448144	None	20910	291	None	2	1	None	2006	314500
"2900 N Leisure World Blvd Apt 210, Silver Spring, MD 20906"	None	7/11/2014	15	8	3	3	0	None	None	RE/MAX Realty Services	None	None	Turnberry Courts	679	1	1	1	1	None	1512	7	Bob Myers	None	8402505	None	20906	208	None	2	1	Traditional	1998	314900
"2001 Blueridge Ave, Silver Spring, MD 20902"	None	8/15/2014	None	None	4	4	0	2.5	None	RE/MAX Results - MD	None	None	None	None	None	1	1	None	None	1396	4	NICK CARRAS	10890	8432276	None	20902	226	None	1	3	None	1963	314900
"3005 S Leisure World Blvd Apt 705, Silver Spring, MD 20906"	None	7/2/2014	21	9	2	2	0	None	None	Weichert Realtors - Rockville / White Flint	None	None	Turnberry Courts	663	1	1	1	1	None	1446	60	Marilyn Teitelbaum	None	8394211	None	20906	218	None	2	None	None	1999	315000
"902 Whitehall St, Silver Spring, MD 20901"	None	9/5/2014	None	None	4	3	1	None	None	"Fairfax Realty, Inc."	None	None	None	None	None	1	1	None	None	1226	21	Eva Vasco	6186	8449182	None	20901	257	None	1	3	None	1955	315000
"2800 Denley Pl, Silver Spring, MD 20906"	None	9/26/2014	None	11	3	3	0	None	None	RE/MAX PROS-GERMANTOWN	None	None	None	None	None	1	1	None	None	910	0.125	Josh Ross	7231	8467361	None	20906	346	None	1	1	None	1949	315000
"1016 Cresthaven Dr, Silver Spring, MD 20903"	None	5/18/2011	None	None	4	None	None	2.5	None	First Decision Realty Llc	None	None	None	None	None	None	None	None	None	1948	2	Jorge Alvarez	10890	7605048	None	20903	162	None	1	3	None	1960	315000
"2733 Fairdale Ter, Silver Spring, MD 20905"	None	9/18/2014	None	None	3	0	3	2.5	None	"W.C. &amp; A.N. Miller REALTORS, A Long &amp; Foster Co"	None	None	Greencastle Woods One Hoa	None	None	1	1	1	130	1710	5	Jay Schlaffer	1437	8460415	None	20905	185	None	2	1	None	1987	317000
"10015 Brunett Ave, Silver Spring, MD 20901"	None	8/9/2014	None	5	2	2	0	None	None	"City Properties 2, Llc"	None	None	None	None	1	1	1	None	None	706	2	The Lise Howe Group	5924	8427672	None	20901	452	None	1	3	None	1938	319000
"11508 Goodloe Rd, Silver Spring, MD 20906"	None	5/6/2014	None	None	4	3	1	None	None	Gallery Realtors Llc	None	None	None	None	None	1	1	None	None	972	7	Maria Douglas	5881	8340366	None	20906	328	None	1	1	None	1946	319000
"12701 Barbara Rd, Silver Spring, MD 20906"	None	8/12/2014	None	8	5	3	2	None	None	LONG &amp; FOSTER - Chevy Chase/Uptown	None	None	None	None	None	None	1	None	None	1034	3	Chandrika Hettiarachchi	7754	8430077	None	20906	309	None	1	3	None	1960	319000
"10213 Colesville Rd, Silver Spring, MD 20901"	None	7/12/2014	None	7	3	2	1	None	None	LONG &amp; FOSTER - Silver Spring Downtown	None	None	None	None	None	1	1	1	None	1197	1	Gary Sandstrom	5184	8402995	None	20901	267	None	1	1	None	1948	319500
"3310 N Leisure World Blvd # 704-6, Silver Spring, MD 20906"	1	9/26/2014	16	9	3	3	0	2.5	None	Long &amp; Foster	None	None	Fairways North C	670	1	1	1	1	None	1530	7	Timothy Horst	None	8466357	None	20906	209	None	2	1	Contemporary	1993	319900
"10955 Bucknell Dr # 28, Silver Spring, MD 20902"	None	9/22/2014	1	8	3	0	3	2.5	None	"A-K Real Estate, Inc."	None	None	Bucknell Commons	200	None	1	1	None	None	1590	5	Samer Kuraishi	None	8462994	None	20902	201	None	2	1	None	1967	319900
"402 Royalton Rd, Silver Spring, MD 20901"	None	7/31/2014	None	5	3	3	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	None	None	None	1	1	None	None	944	21	John Radcliffe	8930	8419841	None	20901	339	None	1	3	None	1953	319900
"3001 Schubert Dr, Silver Spring, MD 20904"	None	6/26/2014	None	None	4	None	None	3.5	None	Tristar Realty Inc	None	3	None	None	None	None	None	None	None	1900	30	Ebenezer Ekuban &quot;BEN&quot;	7667	8389086	None	20904	168	None	1	3	None	1985	320000
"622 Kenbrook Dr, Silver Spring, MD 20902"	None	3/25/2014	None	None	4	3	1	None	None	RE/MAX PROS-GERMANTOWN	None	None	None	None	None	1	1	None	None	1333	2	Timon Mitrakas and The Platinum Team	11325.6	8300668	None	20902	240	None	1	None	None	1962	320000
"4116 Fogel Ln, Silver Spring, MD 20906"	None	7/25/2014	None	None	4	3	1	1.5	None	RE/MAX PROS-GERMANTOWN	None	None	None	None	None	1	1	None	None	1092	3	Timon Mitrakas and The Platinum Team	6708	8415182	None	20906	293	None	1	1	None	1961	320000
"15010 Layhill Rd, Silver Spring, MD 20906"	None	8/17/2013	None	None	5	0	5	3.5	None	Nitro Realty	None	None	None	None	2	1	1	1	None	2288	90	Calvin Tran	30056.4	8161478	None	20906	140	None	1	3	Colonial	1986	320000
"3563 Woodlake Dr, Silver Spring, MD 20904"	None	9/14/2014	1	8	3	0	3	3	None	Keller Williams Select Realtors	None	None	Woodlake	79.5	2	1	1	1	94	1850	14	Robert Lucido	None	8456593	None	20904	175	None	2	1	Colonial	2014	323951
"1567 Ivystone Ct, Silver Spring, MD 20904"	None	6/25/2014	None	6	3	0	3	3.5	None	Long &amp; Foster	None	None	None	None	None	1	1	1	310	1540	30	Katherine Chronopoulos	1655	8386995	None	20904	210	None	2	1	None	1984	324000
"2246 Washington Ave Apt 101, Silver Spring, MD 20910"	None	10/2/2014	3	None	2	1	1	1.5	None	Keller Williams Realty	None	None	Rock Creek Gardens	483	None	1	1	1	None	1400	1	Colette Releford	None	8471991	1	20910	232	None	2	None	None	1948	324900
"509 Stirling Rd, Silver Spring, MD 20901"	None	9/19/2014	None	None	3	2	1	None	None	"W.C. &amp; A.N. Miller REALTORS, A Long &amp; Foster Co"	None	None	None	None	None	None	1	1	None	792	7	Tamara Kucik	5576	8460714	None	20901	410	None	1	1	None	1946	324900
"3810 Wendy Ln, Silver Spring, MD 20906"	None	6/11/2014	None	None	4	3	1	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	None	None	None	1	1	None	None	1019	7	Pennye Green-Latimer	6882	8374621	None	20906	319	None	1	1	None	1957	324900
"13238 Stravinsky Ter, Silver Spring, MD 20904"	None	5/23/2014	2	9	4	None	None	3.5	None	"RE/MAX Realty Centre, Inc."	None	None	None	None	None	1	None	None	73	1920	6	NANCY WERT	1481	8357643	None	20904	169	None	2	1	None	1984	325000
"107 Kinsman View Cir, Silver Spring, MD 20901"	None	5/29/2014	None	None	3	0	3	2.5	None	Exit Results Realty	None	None	None	None	None	1	1	1	198	1440	7	Shannon Hernandez	1481	8362158	None	20901	226	None	2	3	None	1985	325000
"9501 Seminole St, Silver Spring, MD 20901"	None	8/8/2014	None	11	3	2	1	None	None	RE/MAX Realty Group	None	None	None	None	None	1	1	1	None	1312	14	PHIL KELLEY	7057	8427457	None	20901	248	None	1	1	None	1951	325000
"12503 Meadowood Dr, Silver Spring, MD 20904"	None	9/22/2014	None	None	None	None	None	None	None	Re/Max Specialists	None	None	None	None	None	None	None	None	None	None	7	Tamika Johnson	50094	8462961	None	20904	None	None	3	1	None	None	325000
"12414 Goodhill Rd, Silver Spring, MD 20906"	None	9/15/2014	None	None	5	3	2	None	None	LONG &amp; FOSTER - Silver Spring/Colesville	None	None	None	None	None	1	1	None	None	910	2	Raymond Diaz	915	8457002	None	20906	357	None	1	1	None	1952	325000
"3210 N Leisure World Blvd Apt 717, Silver Spring, MD 20906"	None	6/9/2014	18	8	3	3	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Vantage Point West At Leisure	684	None	1	1	None	None	1489	14	SUE HEYMAN	None	8372700	None	20906	221	None	2	1	None	2001	329000
"7915 Eastern Ave Apt 714, Silver Spring, MD 20910"	1	7/11/2014	3	8	2	2	0	None	None	Weichert Realtors - Bethesda/Chevy Chase	None	None	Aurora Codm	88.71	None	1	1	None	296.66	1148	3	Carmen Fontecilla	None	8401563	None	20910	287	None	2	3	None	2006	329000
"2913 Harris Ave, Silver Spring, MD 20902"	None	7/24/2014	None	7	3	2	1	1.5	None	Allegiance Realty Partner LLC	None	None	None	None	None	None	1	None	None	936	4	Gonul Otar	6970	8413823	None	20902	351	None	1	1	None	1955	329000
"12803 Matey Rd, Silver Spring, MD 20906"	None	9/19/2014	None	None	5	4	1	None	None	Long and Foster - North Bethesda/Rockville	None	None	None	None	None	1	1	None	None	1638	14	DENISE SZCZUR	8233	8461649	None	20906	201	None	1	None	None	1949	329900
"1431 Casino Cir, Silver Spring, MD 20906"	None	10/2/2014	None	None	3	0	3	3	None	"RE/MAX Realty Centre, Inc."	None	None	None	None	None	1	1	None	92	1407	0.125	Ashish &quot;bobby&quot; Mehra	1612	8471879	None	20906	234	None	2	1	None	1986	329900
"418 Torrington Pl, Silver Spring, MD 20901"	None	8/11/2014	None	3	4	3	1	2.5	None	"Maryland REO Realty, LLC"	None	None	None	None	None	1	1	1	None	1164	7	GLADWIN D&#39;COSTA	6186	8429195	None	20901	283	None	1	1	None	1959	329900
"1231 E Randolph Rd, Silver Spring, MD 20904"	None	7/15/2014	None	6	3	3	0	1.5	None	Deausen Realty	None	None	None	None	None	1	1	None	None	1104	7	Marlon Deausen	21780	8405389	None	20904	299	None	1	1	None	1954	329900
"15704 Peach Orchard Rd, Silver Spring, MD 20905"	None	8/12/2014	None	10	3	1	2	None	None	Re/Max Town Center	None	None	None	None	None	1	None	1	None	616	30	Lisa Abrams	20037.6	8429245	None	20905	536	None	1	1	None	1940	330000
"1220 Blair Mill Rd Apt 505, Silver Spring, MD 20910"	1	8/8/2014	9	6	2	None	None	None	None	Re/Max Town Center	None	None	Mica Codm @ Silv	885.98	1	1	None	1	None	1590	30	Maria Mcgrath	None	8427453	1	20910	208	None	2	3	Contemporary	2006	330000
"8005 13th St Apt 306, Silver Spring, MD 20910"	1	9/11/2014	5	9	2	2	0	None	None	Weichert Realtors - Bethesda/Chevy Chase	None	None	The Orion Codm	402.94	None	1	1	None	None	943	14	Carmen Fontecilla	None	8454568	None	20910	355	None	2	None	None	2012	334900
"911 Arcola Ave, Silver Spring, MD 20902"	None	8/15/2014	None	5	4	None	None	2.5	None	RE/MAX 2000	None	None	None	None	None	1	1	1	None	2043	5	Frances Castillo	20037.6	8432930	None	20902	164	None	1	None	None	1941	334900
"8005 13th St Apt 109, Silver Spring, MD 20910"	None	8/21/2014	3	9	1	1	0	1.5	None	"Long &amp; Foster Real Estate, Inc."	None	None	The Orion Codm	350	None	1	1	None	None	1102	3	Creig Northrop Team of Long &amp; Foster	None	8437094	None	20910	304	None	2	1	None	2012	334900
"12120 Arbie Rd, Silver Spring, MD 20904"	None	7/3/2014	None	None	4	0	4	None	None	Weichert Realtors - Germantown / Upper Montgomery County	None	None	None	None	None	1	1	None	None	1473	7	Dimitri Apostolopoulos	11325.6	8394736	None	20904	227	None	1	3	None	1962	334900
"11604 Idlewood Rd, Silver Spring, MD 20906"	None	7/8/2014	None	None	4	3	1	None	None	Re/Max Allegiance	None	None	None	None	None	None	1	1	None	648	30	Sonya Estevez	5837	8398424	None	20906	517	None	1	None	None	1946	334900
"409 Branch Dr, Silver Spring, MD 20901"	None	7/23/2014	None	7	3	3	0	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	None	None	None	1	1	None	None	1064	6	RHONDA MORTENSEN	6490	8412097	None	20901	315	None	1	1	None	1959	335000
"1503 Gleason St, Silver Spring, MD 20902"	None	6/26/2014	None	8	2	2	0	1.5	None	RE/MAX REALTY SERVICES	None	None	None	None	2	1	1	1	None	696	1	Laps McCord	6011	8388426	None	20902	481	None	1	3	None	1949	335000
"1907 Alabaster Dr, Silver Spring, MD 20904"	None	3/20/2014	None	None	5	3	2	None	None	RE/MAX 2000	None	None	None	None	1	1	1	None	200	1604	2	Maqsood Tariq	10018.8	8296259	None	20904	209	None	1	3	None	1981	335000
"3305 Sea Port Way, Silver Spring, MD 20902"	None	9/27/2014	None	7	2	0	2	3.5	None	LONG &amp; FOSTER - Columbia	None	None	None	None	None	1	None	1	85	1360	4	ANNE CRISTALDI	1220	8467575	None	20902	246	None	2	1	None	1989	335000
"3210 N Leisure World Blvd Apt 516, Silver Spring, MD 20906"	1	6/17/2014	22	5	2	2	0	None	None	Re/Max Metropolitan Realty	None	None	Vantage Point West	700	1	1	1	None	None	1505	7	Michael Chang	None	8379835	None	20906	223	None	2	1	None	2001	336000
"9406 Seminole St, Silver Spring, MD 20901"	None	11/16/2013	None	9	2	2	0	None	None	LONG &amp; FOSTER - White Oak/Silver Spring	None	None	None	None	1	1	None	1	None	924	7	Donald Carroll	6578	8226076	None	20901	364	None	1	1	None	1948	336000
"3403 Farthing Dr, Silver Spring, MD 20906"	None	9/1/2014	None	6	4	1	3	None	None	Prudential PenFed Realty	None	None	None	None	None	1	1	1	None	1980	7	Helene Zrihen	7449	8444734	None	20906	170	None	1	1	None	1954	337500
"8819 Glenville Rd, Silver Spring, MD 20901"	None	3/12/2014	None	7	4	1	3	None	None	"Real Estate One Solutions, Inc"	None	None	None	None	None	1	1	1	None	1212	120	Trinh Duong	6273	8290079	None	20901	279	None	1	None	None	1947	338000
"2329 Massanutten Dr, Silver Spring, MD 20906"	None	9/11/2014	None	None	3	0	3	2.5	None	Long &amp; Foster	None	None	None	None	None	1	1	None	59.75	1440	4	Victor Llewellyn	1612	8453505	None	20906	235	None	2	3	None	1992	339000
"12118 Sweet Clover Dr, Silver Spring, MD 20904"	None	9/4/2014	None	None	4	None	None	3.5	None	Coldwell Banker Residential Brokerage - Columbia	None	None	None	None	None	1	1	1	98	1480	7	Robyn Kim	2309	8448044	None	20904	229	None	2	1	None	1988	339000
"627 Potomac Ave, Silver Spring, MD 20910"	None	6/26/2014	None	5	2	2	0	None	None	LONG &amp; FOSTER - Potomac Village	None	None	None	None	None	1	1	None	None	736	7	Chris Koons-Byrne	6447	8388384	None	20910	461	None	1	3	None	1923	339000
"2615 Harris Ave, Silver Spring, MD 20902"	None	9/22/2014	None	6	3	2	1	None	None	Re/Max Town Center	None	None	None	None	None	1	1	1	None	1114	3	Iraj Behdin	7231	8463282	None	20902	304	None	1	1	None	1952	339000
"3800 Randolph Rd, Silver Spring, MD 20902"	None	8/21/2014	None	8	4	3	1	None	None	ERA Pro Realty	None	None	None	None	None	1	1	1	None	1932	5	Deborah Reluzco	7623	8436681	None	20902	176	None	1	1	None	1952	339900
"13227 Hathaway Dr, Silver Spring, MD 20906"	None	10/2/2014	None	None	4	3	1	None	None	"Spring Hill Real Estate, Llc."	None	None	None	None	None	1	1	None	None	1350	2	Kassandra Cardozo	14374.8	8471732	None	20906	252	None	1	1	None	1963	339900
"3850 Clara Downey Ave # 33Ge, Silver Spring, MD 20906"	None	9/26/2014	3	8	2	2	0	None	None	Keller Williams Excellence	None	None	Norbeck Crossing	354.11	None	1	1	1	51.75	1221	2	"Jay Day and The Day Home Team, LLC of Keller Williams Excellence"	None	8466590	None	20906	278	None	2	1	None	2014	339990
"12717 Helen Rd, Silver Spring, MD 20906"	None	6/23/2014	None	6	3	2	1	None	None	Re/Max Town Center	None	None	None	None	None	1	1	1	None	816	None	Maria Mcgrath	5837	8385638	None	20906	417	None	1	1	None	1955	339999
"2817 Cornet Ct, Silver Spring, MD 20904"	None	4/14/2014	2	11	3	0	3	2.5	None	Weichert Realtors - Fallsgrove	None	None	None	None	1	1	1	None	150	1458	7	Rick Murdock	1612	8319535	None	20904	233	None	2	3	Colonial	2007	340000
"2972 Gracefield Rd, Silver Spring, MD 20904"	None	8/22/2013	None	None	4	3	1	None	None	Lion Realty	None	None	None	None	1	1	1	None	None	1282	7	Sandy &amp; Jay	9148	8165012	None	20904	265	None	1	1	None	1967	340000
"2326 Ladymeade Dr, Silver Spring, MD 20906"	None	3/12/2014	None	7	3	None	None	3.5	None	RE/MAX 2000	None	None	None	None	1	1	1	None	67	1346	7	GEORGE GNALL	3398	8289824	None	20906	253	None	1	1	Colonial	1986	340000
